Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,45.349998,46.090000,43.740002,45.730000,40.521347,132810800
2015-12-01,45.759998,46.060001,42.270000,43.419998,38.474442,150742600
2016-01-01,42.720001,42.919998,36.290001,38.770000,34.611458,187522700
2016-02-01,38.549999,42.560001,38.080002,41.799999,37.316456,187290600
2016-03-01,42.299999,45.740002,42.029999,44.810001,40.003593,142247700
2016-04-01,44.490002,47.910000,43.970001,47.099998,42.193905,111414600
2016-05-01,47.290001,48.180000,45.419998,46.939999,42.050571,131451000
2016-06-01,46.849998,48.599998,44.220001,46.340000,41.513073,125404800
2016-07-01,46.340000,49.180000,45.009998,48.689999,43.836414,88989400
2016-08-01,48.689999,49.570000,47.970001,48.560001,43.719368,85316200
2016-09-01,48.709999,49.430000,46.549999,47.750000,42.990112,109333200
2016-10-01,47.779999,47.910000,45.560001,46.750000,42.306755,102525400
2016-11-01,46.849998,50.060001,46.119999,49.939999,45.193558,139398000
2016-12-01,50.110001,51.689999,49.500000,49.700001,44.976379,106940300
2017-01-01,49.830002,53.259998,49.630001,51.959999,47.332108,98213500
2017-02-01,51.939999,52.910000,51.330002,52.250000,47.596275,92537400
2017-03-01,52.730000,53.439999,51.040001,52.410000,47.742031,106243300
2017-04-01,52.430000,53.820000,51.270000,53.070000,48.495369,76357200
2017-05-01,53.320000,53.520000,51.349998,53.080002,48.504509,93951500
2017-06-01,53.049999,55.220001,53.040001,53.810001,49.171577,95078700
2017-07-01,53.939999,55.919998,53.700001,54.639999,50.163960,70612900
2017-08-01,54.869999,55.189999,53.410000,55.070000,50.558735,90646300
2017-09-01,55.259998,56.990002,54.540001,56.799999,52.147015,89328100
2017-10-01,56.730000,59.619999,56.709999,59.000000,54.458553,86553200
2017-11-01,59.299999,59.970001,57.259998,59.560001,54.975445,88321400
2017-12-01,59.669998,60.869999,58.619999,60.529999,55.870785,89225400
2018-01-01,60.849998,64.169998,60.689999,62.950001,58.389427,127993300
2018-02-01,62.509998,62.919998,56.619999,59.630001,55.309956,185940300
2018-03-01,59.599998,61.740002,55.689999,56.939999,52.814835,141425600
2018-04-01,56.750000,60.250000,55.209999,57.009998,53.081799,135069800
2018-05-01,56.700001,60.360001,56.220001,58.180000,54.171177,119244900
2018-06-01,58.610001,61.209999,57.139999,58.070000,54.068760,115353100
2018-07-01,57.650002,59.880001,57.349998,59.730000,55.873264,121323300
2018-08-01,59.599998,60.299999,57.020000,59.270000,55.442978,124996700
2018-09-01,59.110001,61.160000,57.820000,57.930000,54.189491,111098900
2018-10-01,58.250000,59.040001,50.090000,52.610001,49.447342,262852500
2018-11-01,53.570000,56.029999,52.680000,54.610001,51.327118,180555400
2018-12-01,55.740002,56.139999,47.049999,50.520000,47.482986,247650500
2019-01-01,49.779999,54.590000,49.240002,53.349998,50.469028,177241000
2019-02-01,53.320000,56.299999,52.029999,55.049999,52.077225,126168000
2019-03-01,55.450001,56.340000,54.060001,55.500000,52.502926,150025000
2019-04-01,55.889999,58.500000,55.820000,57.450001,54.582378,114763300
